#<  Na      int32
#<  Nb      int32
#<  R_min   int32
#<  R_max   int32
#<  t_eq    int32
#<  t_p     int32

        5        0        0        1        1       22
        5        0        0        1        1       33
        5        0        0        1       11       23
        5        0        0        1        1       29
        5        0        0        1        1       24
        5        0        0        1        1       21
        5        0        0        1        1       45
        5        0        0        1        1       26
        5        0        0        1        1       34
        5        0        0        1        1       33
       10        0        0        2        1      216
       10        0        0        2        1      113
       10        0        0        2      123        3
       10        0        0        2        1        0
       10        0        0        2        1        0
       10        0        0        2        1        0
       10        0        0        2        1        0
       10        0        0        2        1      253
       10        0        0        2        1        0
       10        0        0        2        1        0
       20        0        0        4      201        0
       20        0        0        4      188        0
       20        0        0        4        1        0
       20        0        0        4        1        0
       20        0        0        4      333        0
       20        0        0        4        1        0
       20        0        0        4        1        0
       20        0        0        4        1      339
       20        0        0        4      200        0
       20        0        0        4        1        0
       40        0        0        8       18        0
       40        0        0        8        1        0
       40        0        0        8       39        0
       40        0        0        8        1        0
       40        0        0        8      105        0
       40        0        0        8      200        0
       40        0        0        8        1        0
       40        0        0        8      285        0
       40        0        0        8        1        0
       40        0        0        8      165        0
       80        0        0       16        1        0
       80        0        0       16        1        0
       80        0        0       16      139        0
       80        0        0       16      199        0
       80        0        0       16       53        0
       80        0        0       16      117        0
       80        0        0       16        1        0
       80        0        0       16       50        0
       80        0        0       16      580        0
       80        0        0       16       61        0
      160        0        0       32       90        0
      160        0        0       32       20        0
      160        0        0       32        7        0
      160        0        0       32      304        0
      160        0        0       32       31        0
      160        0        0       32      134        0
      160        0        0       32      325        0
      160        0        0       32       26        0
      160        0        0       32       95        0
      160        0        0       32       21        0
      320        0        0       64       80        0
      320        0        0       64       69        0
      320        0        0       64       78        0
      320        0        0       64       98        0
      320        0        0       64       89        0
      320        0        0       64       74        0
      320        0        0       64      115        0
      320        0        0       64       34        0
      320        0        0       64      166        0
      320        0        0       64       39        0
      640        0        0      128      121        0
      640        0        0      128       80        0
      640        0        0      128       86        0
      640        0        0      128       93        0
      640        0        0      128       96        0
      640        0        0      128      280        0
      640        0        0      128       73        0
      640        0        0      128      105        0
      640        0        0      128      292        0
      640        0        0      128      115        0
     1280        0        0      256       82        0
     1280        0        0      256      189        0
     1280        0        0      256       89        0
     1280        0        0      256       89        0
     1280        0        0      256      150        0
     1280        0        0      256      274        0
     1280        0        0      256      192        0
     1280        0        0      256      101        0
     1280        0        0      256       97        0
     1280        0        0      256       85        0
     2560        0        0      512      203        0
     2560        0        0      512      104        0
     2560        0        0      512       72        0
     2560        0        0      512      104        0
     2560        0        0      512       83        0
     2560        0        0      512      199        0
     2560        0        0      512      134        0
     2560        0        0      512      103        0
     2560        0        0      512      136        0
     2560        0        0      512      114        0
